OBJECTID,GEOID10,CSA,CSA_Name,CBSA,CBSA_Name,PCT_AO0,PCT_AO1,PCT_AO2P,D4a,D4c
21064,060014001001,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.03,0.30,0.67,-99999,30
21053,060014002001,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.13,0.43,0.44,352,136
21508,060014002002,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.11,0.48,0.41,169,117
21052,060014003001,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.08,0.37,0.55,267,126
21054,060014003002,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.10,0.67,0.23,315,143
21056,060014003003,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.33,0.29,0.38,350,202
21881,060014003004,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.14,0.51,0.35,371,154
21507,060014004001,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.14,0.49,0.37,141,171
21405,060014004002,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.04,0.48,0.48,232,103
21062,060014004003,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.27,0.43,0.30,49,77
21057,060014005001,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.10,0.60,0.30,49,133
21032,060014005002,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.27,0.40,0.33,165,63
21033,060014005003,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Fremont, CA",0.22,0.49,0.28,212,75
